Computer_Time, BaseRightFront,BaseRightBack, BackRightL1,BackRightL2,Top,BackRightL3,BackRightL4,BackLeftL4,BackLeftL3,BackLeftL2, Middle, BackLeftL1, BaseLeftBack, BaseLeftRight,Posture
16:40:29,315.00,205,16,15,34,15,16,116,224,39,15,15,474,515,11
16:40:31,314.00,208,15,15,46,15,15,113,209,32,15,15,478,517,11
16:40:33,309.00,212,15,16,56,15,15,99,206,36,16,14,484,526,11
16:40:35,309.00,215,15,15,59,15,15,131,198,42,16,16,483,529,11
16:40:37,307.00,204,15,16,17,15,15,115,180,52,15,16,491,531,11
16:40:40,314.00,211,15,14,16,15,15,110,189,47,15,15,507,535,11
16:40:42,310.00,198,16,16,29,17,17,172,240,45,16,16,496,529,11
16:40:44,312.00,202,15,16,28,15,15,178,244,42,15,15,499,534,11
16:40:46,312.00,209,16,15,26,16,15,183,240,43,15,15,501,532,11
16:40:48,313.00,213,16,15,29,15,16,151,211,53,15,16,502,533,11
16:41:05,251.00,455,17,16,33,318,241,16,17,16,18,16,394,16,11
16:41:07,273.00,432,17,16,37,310,239,16,16,17,16,17,406,16,11
16:41:10,284.00,453,18,17,43,309,230,19,17,18,17,17,419,17,11
16:41:12,283.00,466,18,17,37,297,241,17,17,17,18,18,416,17,11
16:41:14,291.00,464,17,17,31,312,258,17,16,15,16,17,413,15,11
16:41:16,283.00,466,17,17,36,308,264,17,17,17,17,17,421,17,11
16:41:18,283.00,474,17,17,28,309,264,16,17,17,16,17,420,16,11
16:41:20,278.00,473,16,16,30,315,266,17,16,17,16,17,425,16,11
16:41:22,278.00,471,16,17,39,310,264,17,16,16,17,16,425,16,11
16:41:25,258.00,445,16,16,35,305,276,17,16,16,16,15,409,17,11
16:41:27,267.00,454,15,16,39,309,267,15,15,15,16,16,418,16,11
16:41:29,274.00,460,16,16,41,307,253,16,16,16,16,17,422,16,11
16:41:40,402.00,16,16,16,15,16,15,15,15,15,15,15,596,227,111
16:41:42,362.00,17,15,16,15,15,15,15,16,15,15,15,617,208,111
16:41:44,397.00,386,16,177,16,17,16,16,15,56,15,16,570,230,111
16:41:46,368.00,394,16,202,16,15,15,15,16,57,16,16,589,209,111
16:41:48,356.00,16,16,252,15,16,16,16,16,68,15,15,561,201,111
16:41:50,373.00,391,16,235,15,15,15,16,16,57,16,15,569,218,111
16:41:52,385.00,405,16,235,16,16,16,15,16,56,16,16,577,228,111
16:41:55,384.00,402,16,241,16,16,16,16,15,62,17,16,576,228,111
16:41:57,383.00,409,16,228,16,15,15,16,16,62,16,16,576,231,111
16:41:59,385.00,407,16,244,16,16,16,16,17,71,16,16,578,235,111
16:42:01,386.00,411,16,236,16,16,16,15,16,69,16,16,579,238,111
16:42:03,386.00,407,16,242,16,17,17,16,16,77,16,16,577,239,111
16:42:05,385.00,412,16,230,16,16,16,16,16,63,16,15,577,240,111
16:42:07,384.00,412,16,228,16,17,17,17,16,66,15,16,577,240,111
16:42:10,382.00,384,15,226,16,17,16,17,15,75,15,16,571,241,111
16:42:12,383.00,415,16,257,16,16,16,16,16,62,17,16,573,243,111
16:42:14,383.00,407,15,261,16,16,17,15,15,66,16,16,571,241,111
16:42:16,420.00,449,17,246,16,16,16,16,16,82,16,16,590,225,111
16:42:18,390.00,422,16,259,15,16,16,15,16,59,16,15,576,224,111
16:42:20,388.00,411,16,287,16,16,16,16,15,69,16,17,558,238,111
16:42:44,372.00,138,15,17,189,210,345,114,137,16,16,16,16,479,1111
16:42:46,375.00,142,16,17,172,215,335,110,139,16,19,16,15,478,1111
16:42:48,378.00,139,17,16,175,204,327,122,142,16,16,16,16,478,1111
16:42:50,382.00,133,17,16,153,196,289,109,150,16,17,16,16,478,1111
16:42:52,381.00,135,16,16,179,170,273,140,163,16,16,16,16,473,1111
16:42:55,382.00,137,16,16,176,203,307,143,137,15,16,16,16,476,1111
16:42:57,392.00,131,16,17,189,198,309,121,114,15,17,17,16,485,1111
16:42:59,387.00,133,16,16,170,165,288,140,155,16,17,16,15,480,1111
16:43:01,387.00,136,16,16,171,185,292,137,167,15,17,16,16,480,1111
16:43:03,388.00,136,17,16,181,186,309,150,162,16,16,15,16,483,1111
16:43:05,387.00,135,15,16,167,188,310,146,176,16,16,16,16,482,1111
16:43:07,387.00,132,16,15,177,196,313,134,175,16,16,15,16,483,1111
16:43:10,388.00,135,16,16,164,193,310,138,188,16,17,15,16,483,1111
16:43:16,404.00,269,17,17,185,125,267,211,71,19,20,21,32,529,11
16:43:18,406.00,292,15,17,66,111,171,134,51,16,16,17,29,527,1111
